Order,Seed,BRKGA,LS,N_gen,N_imp,Instancia,Duration,Target,LSEr,BKEr
1,8933,711388.41,774248.9800000001,739,9,conv_MDG-b_16_n500_m50.txt,112.504358,775436.25,199.85,191.74
2,6773,723157.4799999996,775254.3600000007,926,5,conv_MDG-b_16_n500_m50.txt,147.369306,775436.25,199.98,193.26
3,29776,720243.0599999987,775436.19,2389,15,conv_MDG-b_16_n500_m50.txt,346.151643,775436.25,200,192.88
4,18325,725143.1599999991,774973.1500000001,563,9,conv_MDG-b_16_n500_m50.txt,80.901976,775436.25,199.94,193.51
5,5413,720450.5099999998,772151.5899999997,629,6,conv_MDG-b_16_n500_m50.txt,87.250794,775436.25,199.58,192.91
6,3156,735395.4899999999,774614.0999999985,1371,9,conv_MDG-b_16_n500_m50.txt,207.856826,775436.25,199.89,194.84
7,8358,732573.6699999992,775055.5400000004,827,2,conv_MDG-b_16_n500_m50.txt,126.620098,775436.25,199.95,194.47
8,11967,724615.1199999998,775254.3600000005,1557,9,conv_MDG-b_16_n500_m50.txt,227.445533,775436.25,199.98,193.45
9,1012,725113.0600000002,774079.3800000019,1093,9,conv_MDG-b_16_n500_m50.txt,157.859895,775436.25,199.83,193.51
10,1912,728004.29,773671.789999999,667,6,conv_MDG-b_16_n500_m50.txt,84.348389,775436.25,199.77,193.88
1,37,731054.2100000002,774947.989999998,1308,8,conv_MDG-b_17_n500_m50.txt,166.793669,776619125,100.1,100.09
2,18536,736262.0999999996,773404.8100000002,1163,11,conv_MDG-b_17_n500_m50.txt,151.002918,776619125,100.1,100.09
3,16014,729710.6599999997,772894.8599999985,529,8,conv_MDG-b_17_n500_m50.txt,76.625498,776619125,100.1,100.09
4,29154,723924.5100000008,773699.1399999999,811,7,conv_MDG-b_17_n500_m50.txt,108.190024,776619125,100.1,100.09
5,552,730060.6200000008,775115.3400000001,1188,6,conv_MDG-b_17_n500_m50.txt,151.27203,776619125,100.1,100.09
6,27975,740781.0200000003,774234.0600000015,1223,9,conv_MDG-b_17_n500_m50.txt,171.20375,776619125,100.1,100.1
7,9258,721582.1200000016,776197.8199999995,1558,9,conv_MDG-b_17_n500_m50.txt,212.056657,776619125,100.1,100.09
8,16950,729713.86,776618.9900000008,1379,7,conv_MDG-b_17_n500_m50.txt,207.559072,776619125,100.1,100.09
9,2980,736399.7600000009,774987.4299999991,880,12,conv_MDG-b_17_n500_m50.txt,111.606121,776619125,100.1,100.09
10,7155,732754.45,774663.4900000003,647,7,conv_MDG-b_17_n500_m50.txt,85.516955,776619125,100.1,100.09
1,3552,738128.9399999998,775735.5299999994,1478,9,conv_MDG-b_18_n500_m50.txt,210.886075,775850.75,199.99,195.14
2,10721,730118.7799999999,775850.6400000004,1202,11,conv_MDG-b_18_n500_m50.txt,156.814198,775850.75,200,194.11
3,17769,732885.7900000009,774463.6400000004,1693,9,conv_MDG-b_18_n500_m50.txt,235.551349,775850.75,199.82,194.46
4,13498,729142.4799999994,773772.1600000001,1389,9,conv_MDG-b_18_n500_m50.txt,192.082334,775850.75,199.73,193.98
5,6740,742269.55,774363.7700000014,1147,13,conv_MDG-b_18_n500_m50.txt,161.973038,775850.75,199.81,195.67
6,13107,722807.4500000005,772633.7700000012,641,5,conv_MDG-b_18_n500_m50.txt,81.639898,775850.75,199.59,193.16
7,1579,728261.6100000018,773969.4899999998,849,4,conv_MDG-b_18_n500_m50.txt,127.8384,775850.75,199.76,193.87
8,4821,717229.0200000007,773833.2200000004,1056,5,conv_MDG-b_18_n500_m50.txt,157.085393,775850.75,199.74,192.44
9,17535,720793.1199999995,775850.6400000018,1280,4,conv_MDG-b_18_n500_m50.txt,182.173934,775850.75,200,192.9
10,19902,728716.82,774663.4499999998,1019,7,conv_MDG-b_18_n500_m50.txt,139.19201,775850.75,199.85,193.92
1,2777,737478.3299999998,778802.8199999988,803,9,conv_MDG-b_19_n500_m50.txt,114.243009,778802.9375,200,194.69
2,21282,726863.5700000004,777800.3499999994,551,3,conv_MDG-b_19_n500_m50.txt,82.99505,778802.9375,199.87,193.33
3,8094,722968.7199999989,775392.3800000005,694,6,conv_MDG-b_19_n500_m50.txt,104.63308,778802.9375,199.56,192.83
4,14768,722840.3400000005,776370.9699999995,526,2,conv_MDG-b_19_n500_m50.txt,84.644318,778802.9375,199.69,192.81
5,11196,731881.4900000012,778802.8200000012,522,3,conv_MDG-b_19_n500_m50.txt,73.331702,778802.9375,200,193.98
6,4162,736831.7800000004,775597.2200000008,543,3,conv_MDG-b_19_n500_m50.txt,79.43174,778802.9375,199.59,194.61
7,4668,732958.5900000002,777800.3499999999,649,6,conv_MDG-b_19_n500_m50.txt,90.144223,778802.9375,199.87,194.11
8,3668,727090.3500000004,777475.4900000012,872,7,conv_MDG-b_19_n500_m50.txt,135.110338,778802.9375,199.83,193.36
9,6744,733149.0899999986,778385.3599999998,1251,7,conv_MDG-b_19_n500_m50.txt,177.196479,778802.9375,199.95,194.14
10,4276,729153.84,775771.0400000005,645,12,conv_MDG-b_19_n500_m50.txt,84.006336,778802.9375,199.61,193.62
1,5601,732656.8799999997,775233.1999999991,869,6,conv_MDG-b_20_n500_m50.txt,123.250235,778644.8125,199.56,194.09
2,9674,723851.1700000012,775848.9699999999,640,4,conv_MDG-b_20_n500_m50.txt,79.254023,778644.8125,199.64,192.96
3,4134,739152.7600000009,775655.1399999993,1532,10,conv_MDG-b_20_n500_m50.txt,217.268282,778644.8125,199.62,194.93
4,13194,730955.0700000011,778638.9400000008,742,7,conv_MDG-b_20_n500_m50.txt,107.722424,778644.8125,200,193.88
5,13490,723691.9800000003,773201.2399999998,768,6,conv_MDG-b_20_n500_m50.txt,110.348256,778644.8125,199.3,192.94
6,6846,730728.3199999996,777422.3700000007,1475,13,conv_MDG-b_20_n500_m50.txt,203.982559,778644.8125,199.84,193.85
7,4385,726285.6400000005,778644.6500000005,883,6,conv_MDG-b_20_n500_m50.txt,140.711768,778644.8125,200,193.28
8,7783,735549.8999999997,778644.6499999989,1131,10,conv_MDG-b_20_n500_m50.txt,163.896836,778644.8125,200,194.47
9,591,724749.5900000015,778644.6499999992,935,7,conv_MDG-b_20_n500_m50.txt,139.930774,778644.8125,200,193.08
10,4343,734832.4600000017,776323.190000001,1231,7,conv_MDG-b_20_n500_m50.txt,180.816024,778644.8125,199.7,194.37
1,8982,10617094.495270997,11245235.916307932,99,4,conv_MDG-b_21_n2000_m200.txt,7310.102365,11299894.85774,199.52,193.96
2,17886,10664035.15101301,11235870.988552045,99,3,conv_MDG-b_21_n2000_m200.txt,7267.140657,11299894.85774,199.43,194.37
3,24989,10550836.304643007,11273621.418562064,76,4,conv_MDG-b_21_n2000_m200.txt,7229.155613,11299894.85774,199.77,193.37
4,24411,10606190.442954993,11264804.597842079,83,8,conv_MDG-b_21_n2000_m200.txt,7262.10968,11299894.85774,199.69,193.86
5,520,10576391.28048301,11268729.603743024,75,6,conv_MDG-b_21_n2000_m200.txt,7218.620775,11299894.85774,199.72,193.6
